iteration,loglik
0,-783.4676364095575
1,-764.9710786486244
2,-749.4565806577154
3,-733.4680461946434
4,-726.4557076367337
5,-725.843479916301
6,-725.1731419961559
7,-724.7174931429812
8,-724.5830043113313
9,-724.5414104273965
10,-724.5105172077126
11,-724.4809739777282
12,-724.4536904641328
13,-724.431362386817
14,-724.4157160671817
15,-724.4063467540005
16,-724.4014469536656
17,-724.3991355312944
18,-724.398120053111
19,-724.3976934448048
20,-724.3975185033494
21,-724.3974473183647
22,-724.3974181631318
23,-724.3974059785266
24,-724.3974007119726
25,-724.3973983287959
26,-724.3973971901603
27,-724.397396614382
