post_regime_1,post_regime_2,post_regime_3,assigned_regime
0.0,0.9999999999956257,4.374691562052336e-12,2
0.0,0.999999994739353,5.260647356974323e-09,2
0.0,0.9999999977064515,2.2935478978860485e-09,2
0.0,0.9999999969649211,3.0350787888099547e-09,2
0.0,0.9999686539277012,3.1346072298473694e-05,2
0.0,0.9999705046792154,2.949532078446945e-05,2
0.0,0.9997445309377477,0.0002554690622521492,2
0.0,0.9987565735415075,0.0012434264584923447,2
0.0,0.9984764155740151,0.0015235844259851126,2
0.0,0.9168493102378988,0.08315068976210081,2
0.0,0.7610013534733617,0.23899864652663855,2
0.0,0.9562694035094368,0.04373059649056354,2
0.0,0.9991862459454719,0.0008137540545284598,2
0.0,0.9619561244651117,0.038043875534888694,2
0.0,0.9997996761257101,0.00020032387428968354,2
0.0,0.9996394998748087,0.00036050012519109976,2
0.0,0.9958266629318436,0.004173337068156792,2
0.0,0.49760590901712365,0.5023940909828762,3
0.0,0.999840412017178,0.00015958798282227665,2
0.0,1.4428307028904326e-05,0.9999855716929708,3
0.0,0.011470242026774118,0.9885297579732253,3
0.0,0.9212964993719841,0.07870350062801564,2
0.0,0.9592132161207548,0.04078678387924499,2
0.0,0.9902854902412436,0.009714509758756281,2
0.0,0.4977417622478222,0.5022582377521773,3
0.0,0.5449577941100641,0.45504220588993555,2
0.0,0.9948989389210288,0.005101061078971062,2
0.0,0.04071007628234577,0.9592899237176543,3
0.0,0.9821960686391314,0.017803931360868927,2
0.0,0.9886897283516314,0.0113102716483686,2
0.0,0.996285141152594,0.003714858847405793,2
0.0,0.9999897804982102,1.0219501789450025e-05,2
0.0,0.9998528136730979,0.00014718632690171544,2
0.0,0.007627445154509286,0.99237255484549,3
0.0,2.002934519924919e-50,1.0,3
0.0,3.773184902285948e-17,1.0,3
1.0,1.0194144896586115e-33,9.599316883876895e-38,1
0.0,0.0029689085019985297,0.9970310914980006,3
0.0,0.014235736098252731,0.9857642639017475,3
0.0,0.8966139627027733,0.10338603729722656,2
0.0,0.2537902690094958,0.7462097309905041,3
0.0,0.015681053934209987,0.9843189460657908,3
0.0,0.0006203569014689095,0.9993796430985307,3
0.0,0.9317671642197312,0.068232835780269,2
0.0,0.8436770433258466,0.15632295667415336,2
0.0,0.9560778730647258,0.043922126935274045,2
0.0,0.9999877660156141,1.2233984386608578e-05,2
0.0,0.9999505402519208,4.9459748079667055e-05,2
0.0,0.9992942213526328,0.0007057786473671651,2
0.0,0.9969103988971932,0.0030896011028072293,2
0.0,0.9978164333000072,0.002183566699992782,2
0.0,0.9999873377241041,1.2662275895621107e-05,2
0.0,0.933122157604739,0.06687784239526133,2
0.0,0.9994880234058587,0.00051197659414163,2
0.0,0.9999957922083288,4.207791671651564e-06,2
0.0,0.977968344707716,0.022031655292283743,2
0.0,0.9119318481149964,0.08806815188500372,2
0.0,0.9080910797168531,0.0919089202831461,2
0.0,0.9953445490284379,0.004655450971561533,2
0.0,0.00552591714329735,0.9944740828567022,3
0.0,0.001934490097048428,0.9980655099029517,3
0.0,0.00039865202764353865,0.999601347972356,3
0.0,8.88186753149757e-06,0.9999911181324688,3
0.0,0.009908729296334524,0.9900912707036659,3
0.0,1.4448246671979644e-06,0.9999985551753322,3
0.0,2.8412054696579565e-10,0.9999999997158788,3
0.0,0.0007654854168166633,0.9992345145831832,3
0.0,5.7541526393051066e-05,0.9999424584736066,3
0.0,0.02005087363232475,0.9799491263676757,3
0.0,0.9963861447870157,0.003613855212984996,2
0.0,0.06284856466619622,0.9371514353338044,3
0.0,0.9999182119843287,8.178801567149665e-05,2
0.0,0.9999267454897686,7.325451023126731e-05,2
0.0,1.0,1.1015105930515817e-20,2
0.0,1.0,9.262218617287145e-19,2
0.0,1.0,3.0027761745250613e-20,2
0.0,1.0,9.995765749008108e-25,2
0.0,0.9999417010912397,5.829890875969112e-05,2
0.0,0.9997237985942874,0.00027620140571233,2
0.0,0.9999999999978844,2.1148899819298527e-12,2
0.0,0.9999999999776295,2.2370988656199166e-11,2
0.0,1.0,4.725994414081273e-18,2
0.0,1.0,4.85329383729522e-19,2
0.0,0.9999999999999929,6.9684961209733765e-15,2
0.0,0.999999999999976,2.3651286652378762e-14,2
0.0,1.0,4.271730977065651e-17,2
0.0,0.9999999988394253,1.1605748341851317e-09,2
0.0,0.9999999992120756,7.879249522210349e-10,2
0.0,0.999999999983423,1.657703574016987e-11,2
0.0,1.0,7.307100026450976e-19,2
0.0,0.9999999999906812,9.318824666875732e-12,2
0.0,0.9999999710686542,2.893134595607596e-08,2
0.0,0.9999467268816761,5.327311832361211e-05,2
0.0,0.9935921836105065,0.006407816389493091,2
0.0,0.024979389924129458,0.9750206100758699,3
0.0,3.517416098345641e-05,0.9999648258390171,3
0.0,0.941507534985949,0.058492465014051205,2
0.0,0.9274033484733659,0.07259665152663446,2
0.0,0.9846555521434963,0.015344447856504089,2
0.0,0.9998826211768456,0.00011737882315444191,2
0.0,0.9984040729045083,0.0015959270954913165,2
0.0,0.9972665369211355,0.0027334630788646277,2
0.0,0.9897101474297065,0.010289852570293308,2
0.0,0.9993467289504041,0.0006532710495962821,2
0.0,0.9739806514281623,0.026019348571837565,2
0.0,0.9431072889472722,0.056892711052727474,2
1.0,4.143561517743684e-25,2.184753557452613e-34,1
0.0,0.9992575207803521,0.0007424792196478784,2
